,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,one out of three,7,14 March 2020,"It's 2015 at Fox News headed by Roger Ailes (John Lithgow). Megyn Kelly (Charlize Theron) is the star prime time anchor. Gretchen Carlson (Nicole Kidman) feels that she's being pushed aside. Kayla Pospisil (Margot Robbie) is her ambitious corporate climbing producer.This is not a movie I'm itching to see. I'm not particularly interested in the inner workings of Fox News. Non of the characters are actually likeable. Gretchen annoys me. Roger is a sleaze as expected. Kayla and her gay friend Jess are not that interesting to me. I don't feel any sympathy for them. The only interesting character study is Megyn Kelly. She has a fascinating journey and her investigating the sexual harassment could have been thrilling. I want more of her family especially her relationship with her husband. It would have been nice to see some of her legal work. She needs to be more than Miss America and a female dog. Her actual personal life is what humanizes her. It would be intriguing to have her as the sole main character. Quite frankly, reducing this to a study of Gretchen and Megyn would be enough to raise the personal power of the characterizations.",Bombshell
1,Prismark10,Bombshell,5,21 January 2020,"Based on true events. This film based on sexism within the upper echelons of Fox News had to fictionalise the truth. So very Fox News!Gretchen Carlson (Nicole Kidman) takes on the head of Fox News Roger Ailes (John Lithgow.) She is eventually aided in her perilous journey by fellow host Megyn Kelly (Charlize Theron) and Kayla Pospisil (Margot Robbie.)Ailes was a Conservative media consultant for Presidents Nixon, Reagan and Bush Sr. He effectively kickstarted Fox news and was close to owner Rupert Murdoch.Bombshell has to set up a battle between the women and a giant of the Conservative news media. This includes massaging the female characters to make them appear nicer.Megyn Kelly's history of racism is erased and the focus is her taking on Trump's perceived sexism. Kayla Pospisil on the other hand is an invented Christian Conservative character.Bombshell wants the audience to sympathise with people when if the shoe was on a working class woman or a black man taking on the establishment. They would be labelled as snowflakes by the same people.These people just did not take the Fox news shilling, they took on its values of being a right wing propaganda mouthpiece. There is a falseness to this movie. I could not help thinking that Carlson's stance was little to do with female empowerment but revenge for being demoted.",Bombshell
2,claudio_carvalho,Power and Ambition,5,28 June 2020,"I read the news about the Fox News Roger Alles and his sexual harassment in my country in the past; therefore, I do not know details of this scandal. Further, I am not right wing. However, based on this shallow and sensationalist movie, it seems that the reporters and anchors are only opportunists looking for money from the tribunal. They were looking for better position in Fox News when they were unknown to the audiences and could have left the corporation without any sexual damage. Nobody is forced to be submitted to the boss in your employment. Go to the court years after when you are a decadent anchor seems to be opportunism to make easy money in these politically correct times. The makeup is top-notch. My vote is five.Title (Brazil): ""O Escândalo"" (""The Scandal"")",Bombshell
3,nogodnomasters,There's not an audience for that side of the story,10,29 December 2019,"Roger Ailes (John Lithgow) made women rich and famous at Fox News. He didn't see the harm in ""demanding loyalty."" Gretchen Carlson (Nicole Kidman) was terminated for not submitting to Roger and filed a personal lawsuit against him and not against Fox. She stood alone. No one would come to her aid and say ""Me Too."" Meanwhile, Megyn Kelly (Charlize Theron) had to make a career and monetary decision. Roger did not stand by her when Trump attacked her. The loyalty didn't work both ways. Payback is a b*tch. She decided that you can't be wrong to stand on the side of truth. And we know what happened to her career.I learned some interesting facts. Roger Ailes was such a disgusting pig, his parents ran away from home. Then there was, ""You can leave Fox, but Fox can't leave you."" This refers to the stigmatism that no one will hire ex-Fox employees so they are stuck at Fox and have to suffer the indignities placed upon them in their white male-dominated world where women are ratings bait. And most importantly I learned that ""Sushi is not liberal food.""I loved the film. Margot Robbie demonstrates she can play a very sensitive woman as well as Harley Quinn. Kidman and Theron were great. I hope the liberals in Hollywood gives it 11 Oscars. They can skimp on the soundtrack.Guide: F-word. No sex or nudity.",Bombshell
4,kosmasp,One side,8,6 June 2020,"While this plays at Faux News ... well some may still refer to them as Fox News I reckon, but let's stick with the overall picture they are sending and propagating themeselves. Faux and Friends and others are pawns to serve certain interests ... in their mind they balance something out. They don't, they ""report"" lies. But I am getting ahead of myself and will be getting negative marks from those actually believing the stuff that TV station is spewing.For all the others who remained here (thanks for your patience and hooray for thinking for yourself), this is the story of how many women got sexually harassed and had to do demeaning stuff to promote themselves and to get ahead in their career (no pun intended at all). While most of it is taken from a book from a former employer there, we can assume that most things actually happen the way they are described.We can also safely assume that there are more players that should have been arrested or fined at least. That behaviour was approved or at least allowed to happen ... a working climate that is toxic to say the least. Something the movie conveys quite nicely ... and makes it an uneasy watch therefor ...",Bombshell
5,Sleepin_Dragon,An interesting story.,7,22 January 2021,"We have been in a.period of change for some time, and it has taken some very brave women to stand up, make a stand and say enough is enough.I watched this a few days ago, and borrowed it from a friend, who happens to be a feminist, she surprisingly didn't like it, stating that she felt they had added too much to the story to make it a little sensational, thus demeaning the film.Personally I quite liked it, an interesting, relevant story of course, the acting on the whole was pretty good, I thought Theron was the standout.It's definitely not a movie I would ever want to watch again, but I thought it was pretty good. 7/10.",Bombshell
6,classicsoncall,"""I'm discreet, but unforgiving.""",7,28 January 2020,"I won't defend Roger Ailes or Bill O'Reilly for their treatment of women, and if they got what was coming to them, so much the better. But the film serves just as much as a hit job on Fox News as it does in service to the women who brought personal suit against Ailes. Regular viewers of the cable station will recognize a plethora of on-air names associated with the company, and it wouldn't be too much of a stretch to state that the actors who portrayed Geraldo Rivera, Sean Hannity and Rudy Giuliani were selected for their ability to caricature the personalities. John Lithgow was unrecognizable as Roger Ailes, while the women in the spotlight were capably portrayed by Charlize Theron as Megyn Kelly, and Nicole Kidman as Gretchen Carlson. I actually had to do a double take when I saw Kevin Dorff in the role of Bill O'Reilley; I thought for a moment O'Reilley was actually in the film, outlandish as that might have been. Margot Robbie portrayed a name I wasn't familiar with, and as it turns out, Kayla Pospisil was a composite character, which didn't seem all that necessary given the scope of the story and what the principals were trying to accomplish. Theron and Robbie have both received Oscar nominations in their respective categories, but if the picture has any chance at all when the Academy votes, it will be for Best Achievement in Makeup and Hairstyling.",Bombshell
7,lee_eisenberg,"in a world of MeToo, this becomes all the more important",10,29 November 2020,"In 2016, Fox News commentator Gretchen Carlson accused CEO Roger Ailes of sexually harassing her. Anchorwoman Megyn Kelly soon followed suit, and Ailes resigned. Jay Roach's ""Bombshell"" looks at this story, and what goes on behind the scenes at Fox News. Anyone who cares about serious journalism already viewed the channel as an insult to journalism. As the movie makes clear, Ailes cared only about showing off young blonde women in skimpy dresses.John Lithgow (Ailes), Charlize Theron (Kelly), Nicole Kidman (Carlson) and Margot Robbie (a fictional character) really get into their roles, thanks to the Academy Award-winning makeup. Obviously I can't verify the accuracy of the story. At the very least, it shows what Rupert Murdoch's dominance of the media has created. I'm sure that these sorts of things happened before he lorded over the press, but his dominance made it OK, if not a recommendation.I don't know how much is going to change in the post-MeToo world, whether in the media, politics, entertainment or tech. Just as long as we realize that there's nothing wholesome about the halls of power. Definitely see it.",Bombshell
8,jboothmillard,Bombshell,7,26 January 2020,"I saw the trailer for this movie about a month before its release, I was already interested because of the impressive cast and it looked like an interesting fact-based story, then of course the Awards Season attention it was receiving made me more keen, directed by Jay Roach (Austin Powers, Meet the Parents, Trumbo). Based on the true story, set in 2016, it is about a group of women who take on Roger Ailes (John Lithgow) and the toxic atmosphere he presided over at the Fox News network. Megyn Kelly (Oscar, BAFTA and Golden Globe nominated Charlize Theron) is one of the most popular newscasters and is presenting during the 2016 Republican debate. The day of the debate, despite being sick and vomiting, Megyn questions Donald Trump on comments he has made about women. In retaliation, Trump tweets insults about her, and others follow suit. Megyn, and her husband Douglas Brunt (Mark Duplass), also have to deal with intruders, including photographers, at their home. Ailes worries that someone poisoned Megyn the day of the debate, so Fox hires a security detail for her. Gretchen Carlson (Nicole Kidman) was a co-anchor of the popular Fox and Friends, until she is removed and is transferred to a less popular show. Inundated by sexist comments on and off the air, she meets with lawyers who tell her how Rudi Bakhtiar (Nazanin Boniadi) was fired after accusing Ailes of sexual harassment. They plan to file a harassment suit against Ailes but tell Carlson she'll need evidence and testimony from other women. Kayla Pospisil (Oscar, BAFTA and Golden Globe nominated Margot Robbie) is Fox's newest recruit, working with Carlson, but soon accepts a job on The O'Reilly Factor. Bill O'Reilly (Kevin Dorff) fires her that first day, and she gets drunk and sleeps with her Fox co-worker Jess Carr (Kate McKinnon). When they wake up, Kayla says she's not a lesbian. Jess admits to being liberal, after Kayla sees a poster of Hillary Clinton, she says she applied for many jobs, but Fox hired her, and now no one else will. Kayla is later invited into Ailes' office, where he makes her lift her skirt to show him her underwear. She tells Jess, who says she can't get involved. Gretchen reveals on air that she supports the assault weapons ban, prompting Ailes to summon her. She is fired and is given no clear reason why. She decides to sue Ailes for sexual harassment. Ailes meets with his wife, Beth (Connie Britton), and attorneys Susan Estrich (Allison Janney) and Rudy Giuliani (Richard Kind), denying the allegations. All female staffers are asked to stand with Fox, while most do, Megyn does not come forward. When the suit is filed, no other women come forward. Gretchen's expectations are dashed, and viewers turn on her. Megyn finds other women, including Kayla, who were sexually harassed by Ailes or O'Reilly. Kayla says she obeyed Ailes to protect her career, and felt ashamed, but now wants to come forward. Megyn speaks up and learns that 22 other women will also speak. Estrich tells Ailes that Gretchen has recorded conversations that will win the case. Ailes meets with Fox co-creator Rupert Murdoch (Malcolm McDowell), who tells him he will be fired. Ailes asks to break that news, but Murdoch refuses. Murdoch announces he is taking over Fox, but Jess refuses to speak up. Kayla, knowing she would be fired, quits instead. Meanwhile, Megyn is given $20 million in damages and an apology from Fox but cannot speak about her case. Megyn tells viewers that she does not care if they like her, only that they believe her. Also starring Rob Delaney as Gil Norman, Stephen Root as Neil Mullen, Liv Hewson as Lily Balin, Brigette Lundy-Paine as Julia Clarke, Alice Eve as Ainsley Earhardt, Alanna Ubach as Judge Jeanine Pirro, Jennifer Morrison as Juliet Huddy, Anne Ramsay as Greta Van Susteren, House's Jennifer Morrison as Juliet Huddy, Twilight's Ashley Greene as Abby Huntsman, Final Destination 5's P.J. Byrne as Neil Cavuto, Ugly Betty's Tony Plana as Geraldo Rivera and Brian d'Arcy James as Brian Wilson. An almost unrecognisable Theron is fantastic as the gutsy female journalist, Robbie is also great as the fictional but believably emotional office worker, Kidman does very well as the determined fellow broadcaster, and Lithgow is suitably creepy as the devious CEO. With the recent Harvey Weinstein sexual abuse allegations going on, this film was released at the right time, showing the downfall of a man at the top, taken down by the women he disgustingly took advantage of. The main plot of the film is obvious, but it also cleverly satirises the workplace etiquette and corporate environments, occasionally breaks the fourth wall, and has superb makeup to transform the great cast, a most watchable biographical drama. It won the Oscar for Best Makeup and Hairstyling, and it won the BAFTA for Best Make Up/Hair. Very good!",Bombshell
9,BA_Harrison,You were bored stiff? #MeToo,1,7 January 2020,"It goes without saying that it is disgusting when men in power abuse their position by taking advantage of women in a sexual manner, but who the hell thought that the Fox News scandal would make for a compelling movie? Never has 109 minutes seemed so long. Director Jay Roach, so good at goofball comedy, bored my socks off with this dreary feminist drama that moves slowly and uneventfully towards its inevitable damp squib of a climax (when sex-pest Roger Ailes gets what's coming to him -- a $40 million settlement from Rupert Murdoch).It's extremely telling that the thing I found most engrossing about the whole film was trying to decide whether Nicole Kidman's chin was a prosthetic or some monstrous plastic surgery procedure gone horribly wrong. I'm still undecided about that, but I am sure that I will never watch this film again (unless someone wants to pay me $40 million to do so).",Bombshell
