,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"One dull, soulless uprising",3,29 April 2018,"Will admit to enjoying the first 'Pacific Rim'. It wasn't great or perfect as an overall film, and somewhat of a case of style over substance, but it entertained and did well on delivering on its objectives. The involvement of Guillermo Del Toro and Idris Elba are reasons enough to see the filmReally do wish that the same can be said for its sequel 'Pacific Rim: Uprising'. The trailer was not good and the reviews not great (one of the weaker received films of those released so far this year), but saw it anyway due to liking the first film enough and wanted to see something that was pretty much the same sort of thing quality-wise (and perhaps with improvements). No such luck. 'Pacific Rim: Uprising' turned out to be a dull and soulless sequel and film, and one that comes over as pointless at the end of the day. Starting with what 'Pacific Rim: Uprising' excelled with, which sadly is not much, much of the cinematography and editing are slickly atmospheric, the production design is gritty and audacious and some of the effects are top-notch. Some of the action and spectacle is exciting, they're big and over-the-top but appropriately so. John Boyega is a reasonable and charismatic lead and the only actor to come over well. On the other hand, nowhere near as good a job is done with the direction, nowhere near as in command of or at ease with the material the action, making for a film that tries to be both silly fun and taking itself seriously but fails at both and neither gels. The film doesn't know what it's trying to be, it can be dully paced and target audience is not easy to figure out due to the film's muddled done.Boyega aside, the acting is very bad, especially from Charlie Day and Burn Gorman who are as irritating as they were before. 'Pacific Rim: Uprising' also has some cringe-worthy, childish and vomit-inducingly inane dialogue and paper thin stereotypical characterisation (enough to tick off the long list of cliches one by one in quick succession) where not much is done to develop the characters and make one properly care for them. There are clumsy and unnecessary references to the first film too and there is too much exposition that really bogs things down.Although there are instances of them being good, other effects are cartoonish. A lot of the action doesn't work, not very inventive and not always cohesive let alone exhilarating. A big case of a lot of noise and attempted style but not a lot of brains or soul. Worst of all is the story, which is dull, ridiculous, barely coherent and with a cobbled together glued badly feel and a complete lack of emotional investment.Concluding, a mess apart from a few good things. 3/10 Bethany Cox",Pacific Rim - Uprising
1,Leofwine_draca,Lacks vision,4,31 December 2019,"UPRISING is the sequel to Guillermo Del Toro's PACIFIC RIM but the director chose no to return, busy making THE SHAPE OF WATER instead. Boy, do you miss his presence here. This is more of a generic, child-friendly production which the Chinese have massively contributed to in terms of dollars, so it's full of cheesy CGI action that becomes quite repetitive after a while. The story sees the aliens of the first returning in a different form, but it all leads to the usual cliches and tired genre tropes. Most of the original cast are missing and they're replaced by newcomers going through the motions. There's no real vision here, just repetition, and the whole thing seems to be an exercise in box-ticking rather than delivering real charm.",Pacific Rim - Uprising
2,SnoopyStyle,Transformed,6,28 April 2018,"It's been 10 years since the end of the original movie. With no more Kaiju, the world is trying to rebuild. Jake Pentecost (John Boyega) ran from his father's heroic legacy and lives on the edges of the rebuilding civilization. He deals in black market and tries to steal from a decommissioned Jaeger. He is scooped by street kid Amara Namani who builds her own mini-Jaeger. They get arrested and his stepsister Mako Mori recruits him back into the program. Amara joins the other young cadets training to be pilots under Nate Lambert (Scott Eastwood). Ruthless industrialist Liwen Shao is pushing for Jaeger drones controlled remotely by a single operator with bumbling Dr. Newton Geiszler (Charlie Day) working under her.The Guillermo del Toro style has been scrubbed down and transformed. Jake is a less than compelling lead which is not that different from the original. It starts with a lot attitude and a lot of fronting. Boyega does save it by his sheer charisma. The first movie is a kiddie idea taken seriously with fun. This one takes that serious take and injects some kiddie jokiness. It literally adds a Robin-like character. The attempts at jokes annoyed me. The city destruction has a sterile feel. There is still some fun to be had and it is still robots fighting monsters.",Pacific Rim - Uprising
3,Prismark10,More robots and monsters,5,18 May 2018,"Pacific Rim: Uprising still knocks bells out of some of the Transformer sequels.It is set ten years after the events of Pacific Rim. Jake Pentecost (John Boyega) is the rebellious son of Stacker Pentecost who died saving humanity from the first film.After an encounter with a scavenger Amara (Cailee Spaeny) who builds a Jaeger robot from spare parts. Jake ends up in trouble and his half sister helps him out by forcing him to teach at the Pan Pacific Defence Corps under the auspices of rival pilot Nate Lambert (Scott Eastwood) who spends the movie doing a Clint Eastwood impersonation.When the Kaiju return and threaten to cause further mayhem, it is up to Jake to rally the younger pilots to take on new dangers.This is an easygoing popcorn film, there is plenty of action. Director Steven S DeKnight is merely efficient, relying more on special effects than the script which can be cheesy and stupid at times. He lacks Guillermo Del Toro's panache and pomposity of the first film.Charlie Day puts in another irritating performance. It has now come to a point that any cinema showing a movie starring Charlie Day must offer patrons a freephone number for the Samaritans while the movie is on and free counselling for the next 48 hours.",Pacific Rim - Uprising
4,nogodnomasters,You can be whatever you want to be,5,2 April 2018,"The son of the hero of the first films re-fights his father's battles. It didn't work that well with ""Independence Day 2"" so you would think they would let go of the idea. Jake Pentecost (John Boyega) teams up with Scott Eastwood, the son of an actor, and Cailee Spaeny, because young female ""Rey type"" role models are hip to fight rogue Jaegars. There is an academy to train Jaegar masters which reminded me of a bad ""Starship Troopers."" There is a lot of machines fighting machines in case you didn't get enough of that in Transformers or Iron Man. And like those two films the battles are long and dragged out. Tween film.",Pacific Rim - Uprising
5,kosmasp,Kaiju/Robot Upgraded,7,14 December 2020,"The sequel to a quite succesful first part. If you liked the first one, you'll dig this one too. Not just because some of the characters come back (the survivors) and it has some interesting new ones. But because the movie feels like an homage to the kaiju genre, something you very likely liked while seeing the first one too and has not changed here.The movie itself is quite predictable and it does play with cliches (although even going against one expected thing is almost something you'd expect when it comes to a villainous character). But visually this is quite the achievement. You may care or not - but it does look really good. And that is one of the main ingredients needed in a monster movie like this.",Pacific Rim - Uprising
6,paul_haakonsen,The movie was all CGI and very little else...,5,14 June 2018,"Well, this was a sequel in every aspect of the term.Yeah, sure ""Pacific Rim: Uprising"" had rather impressive special effects and CGI, just like its predecessor, but that was initially all that the movie had working for it, to be bluntly honest.The storyline and plot were so simplistic that it was also offensive to the audience. Was this really all that director and writer Steven S. DeKnight, along with three other writers, could manage to come up with? The storyline was way beyond generic and predictable.As for the acting in the movie, well, let's just say that this will not be much of an award-nominating or winning movie. John Boyega is just unfit for acting on a scale of these movies. It was up to the likes of Scott Eastwood, Cailee Spaeny, Burn Gorman and Rinko Kikuchi to actually carry the movie, despite it being Boyega being the main attraction.The kaijus in the movie were quite nice and interesting, as they were in the first movie too. And the impressive CGI really helped to bring these monsters to life on the screen. The jäegers, too, were also quite nicely brought to life on the screen. However, I never understood why the pilots would exhibit pain and fatigue when the robot chassis gets beaten up. That made no sense.I also love the model simulation of what would happen to the Earth if the kaiju reached their end goal as Hermann Gottlieb magically brought that scenario up in mere seconds after being told of where they were heading. That was just downright ridiculous. But also the fact that apparently that Japanese metropolis managed to evacuate in mere minutes, and for some reason they knew that ALL people were safely evacuated below ground at the base, and they ordered an all out attack. Yep, that was realistic.""Pacific Rim: Uprising"" is crammed with plotholes and things that made little or no sense.It was entertaining enough for a single viewing, if you sit down with the intention of watching it for being an impressive CGI galore and very little else. I watched it to the end, but I can honestly say that I will never return to watch it a second time around.",Pacific Rim - Uprising
7,zardoz-13,Pacific Rim Downsized!!!,5,10 April 2018,"Mind-numbing nonsense from fade-in to fadeout, ""Pacific Rim Uprising"" lacks the stellar cast and the suspenseful Armageddon melodrama of its outlandish but entertaining predecessor. Idris Elba as Stacker Pentecost and Charlie Hunnam as Raleigh Becket made ""Pacific Rim"" more than just a juvenile diversion in collateral damage and urban renewal. Comparatively, neither John Boyega nor Scott Eastwood musters enough magnetism in ""Pacific Rim Uprising"" to overshadow our heroic memories of Stacker and Raleigh. Everybody knows Stacker died in the original, so he was never coming back. Becket's absence is never adequately explained, though he might reappear in a later sequel. Meantime, ""Pacific Rim Uprising"" violates the first rule of all good sequels. Never should a heretofore untold character related to a franchise hero be invented to replace him. Meantime, everybody should recognize Boyega from his two recent ""Star Wars"" spectacles, while Clint Eastwood's son Scott has acquitted himself more than satisfactorily with supporting roles in ""Fury"" and ""Suicide Squad."" Boyega and Eastwood represent Hollywood's new blood. Sadly, they are hamstrung playing superficial characters with scarcely any complexity or charisma. The same shortcoming applies to the new breed of Jaeger pilots who comprise a politically-correct, multi-cultural coalition. Unknown actors and actresses all, they constitute a bland bunch with their petty rivalries. Boyega and Eastwood must whip these recruits into shape, so they can maneuver skyscraper-sized Jaegers on a dime. ""Pacific Rim"" came out in 2013, and five years would slip away before ""Pacific Rim Uprising"" emerged. Despite the gap in time between the original's release and its uninspired sequel, you'd think the filmmakers could have conjured up something with more imagination than a lame imitation of ""Ender's Game"" (2013). Basically, all director Steven S. DeKnight of Netflix's ""Daredevil,"" freshman scenarists Emily Carmichael and Kira Snyder, and ""Maze Runner"" writer T.S. Nowlin do is grant the Kaiju a rematch. Along the way, they disperse the returning original characters, and the last-minute showdown never attains the impressive proportions of ""Pacific Rim."" This formulaic follow-up takes place in 2030, ten years after the Kaiju defeat at the Battle of the Breach. Not only has peace and prosperity been restored during the intervening decade, but scientists have also converted the rock 'em, sock 'em Jaegers so they can be deployed like drones. DeKnight and his writers introduce Stacker Pentecost's insubordinate son, Jake (John Boyega of ""Attack the Block""), but the son is nothing like his sire. Since the end of the Kaiju wars, dismantled Jaegers have been rusting away in scrap heaps. Some skeptics insist on being prepared for the return of the Kaiju. Thieves have catered to their paranoia by stealing Jaeger parts and selling them to these superstitious souls. Jake acquires his cash from pilfering these parts. Little does he know his principal competitor is an audacious, 15-year old orphan, Amara Namani (newcomer Cailee Spaeny), and she is beating him to those parts. Amara is assembling her own micro-sized Jaeger when Jake catches up with her. No sooner have they met than a real Jaeger thwarts her plans. Cutting a deal, Jake winds up back where he started before the Kaiju wars instead of behind bars. Former Jaeger copilot and old friend Nate Lambert (Scott Eastwood of ""Diablo"") needs Jake to help train the new Jaegar pilots. Instead of calling it ""Pacific Rim Uprising,"" producer Guillermo del Toro and DeKnight should have named it ""Pacific Rim: The Next Generation."" Since she proved herself a decent pilot, Namani lands in the new cadet class, but not everyone likes her. According to Lambert, teens make better Jaeger pilots. Their youth, it seems, enables them 'to drift' better as co-pilots. If you haven't seen ""Pacific Rim,"" the mind-melding ability to drift is indispensable for pilots to operate these gigantic robots in combat against the supernatural ""Godzilla"" lizards from another dimension. Drifting might also apply to the audiences' willing suspension of disbelief in matters of such caprice.Meantime, Dr. Hermann Gottieb (Burn Gorman) and Dr. Newton Geiszler (Charlie Day), who enlivened the original with their feverish comic relief antics, are no longer friendly. Newt now works for the domineering Liwen Shao (Jing Tian of ""The Great Wall"") of the Shao Corporation, where he serves as her co-chief of the drone development program. The change in the relationship between Hermann and Newt provides the sole surprise in this mediocre sequel. Remember, these two nerds saved the day for Stacker and Raleigh in ""Pacific Rim"" because they drifted with a hideous Kaiju's mind. Hermann still suffers nightmares from the ordeal, while nitwit Newt has discovered the love of his life. Yes, he keeps a Kaiju brain preserved in a glass tank at his apartment, refers to her as Alice, and maintains what might be described as a Platonic relationship with it! Preposterous as this all seems, it might have been less bizarre if the filmmakers had brought back Ron Perlman's sinister Kaiju collector Hannibal Chau from the first film whose presence is sorely missed. Newt's infatuation with Alice, and the profit-motive resolve of Liwen Shao to implement drones over drift pilots makes her seem shady when a rogue Jaeger storms out of the ocean and annihilates Sidney, Australia. Apart from Hermann and Newt, the only other returning ""Pacific Rim"" character is Rinko Kikuchi's Mako Mori. Sadly, Mako has been demoted from piloting Jaegers and is sidelined to the status of a pencil-pushing administrator. Mako must approve Shao's drone pilot proposal before the Pan Pacific Defense Corps (PPDC) will institute it. Meaning, Mori doesn't survive long enough to make a difference. Predictably, the fearsome alien Kaiju monsters arrive in the second hour to challenge the green Jaeger recruits. DeKnight orchestrates this last minute apocalyptic battle in Tokyo, with the usual collateral damage, while ""Terminator Genisys"" composer Lorne Balfe's bombastic score does more to heighten this slam-bang smackdown than its staging. Not even an intriguing cliffhanger ending is enough to make ""Pacific Rim Uprising"" seem more than a 'downsizing' of its far superior predecessor.",Pacific Rim - Uprising
8,grantss,Incredibly bad,2,21 May 2019,"It is ten years since the world was attacked by creatures from another dimension. The creatures were only defeated due to the introduction of Jaegers, massive fighting machines, and the bravery and self-sacrifice of one man, Stacker Pentecost. Now his son, Jake, is a Jaeger training instructor and finds the fame of his father hard to live up to. Moreover, Earth's peace is about to be shattered as someone is out to unseal the breach and allow the creatures back in.I was pleasantly surprised by the original Pacific Rim. I am not generally into CGI-driven sci fi action movies but, despite its many flaws, I found it reasonably entertaining. It seemed to have more substance than your average CGI movie.Unfortunately, I can't say the same for the sequel. Pacific Rim - Uprising is incredibly bad. Basic, largely nonsensical plot. Any semblance of a storyline exists merely to move you from one mindless action scene to another. Throw in some gung ho dialogue and acting and this movie has nothing going for it.Well, almost nothing: there are some nice views of Sydney, Australia. That was the main reason I even bothered to watch this, as some scenes were filmed outside my office.",Pacific Rim - Uprising
9,view_and_review,Mega Machines Round Two,7,26 March 2018,"Pacific Rim: Uprising is the sequel to Pacific Rim in which the Kaiju (giant monsters) invaded Earth which forced mankind to develop weapons to defeat them. The great minds of Earth came up with Jaegers (giant robots) to combat the Kaiju.What was the same? The Jaegers. A reluctant pilot being pulled back into the fight. Widespread destruction.What was different? The actors. The plot. The final showdown.Was it as good, better, or worse? I think it was better.First, let me take time out for this mass destruction disclosure. Both Pacific Rims would have you believe that densely populated cities with millions of tons of concrete and steel being strewn everywhere would leave minimal to no casualties. And to be fair, Pacific Rim is not the only perpetrator of this myth, many other movies have indicated the same. So let me be the one to tell you: impossible. I know that these movies are basically cinematic versions of the video game Rampage. It seems to be a millennial dream to destroy entire cities. But, no way are these poorly constructed skyscrapers going to be busted apart like sand castles and you won't have thousands of casualties to go with it. It seems that the people are more durable than the buildings. Maybe they should construct the buildings out of humans.OK, that's it for my MDD (mass destruction disclosure). Pacific Rim: Uprising was actually better in my opinion. Besides Nate Lambert (Scott Eastwood) being supremely militaristic the acting was good and the characters likable. They went for a little more humor and it worked. The destruction porn is kind of old hat but that is a large part of the movie. I'm more of a fan of seeing what the giant machines can do (an ode to my roots of Transformers, Voltron, and Robotech) regardless of whether or not they have the ability to bulldoze entire cities in one fight. Since this movie takes place 10 years after the first Kaiju attacks the Jaegers have nice new weapons and more moves. But what I liked most is that this movie was less predictable. Yes, the overall eventualities are predictable but how they achieve their goals is not that predictable and it was refreshing.",Pacific Rim - Uprising
