,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Folklore horror let down by familiarity and a poor script,6,4 April 2018,"THE RITUAL is a well-regarded British horror film that feels like a kind of spiritual successor to THE BLAIR WITCH PROJECT, although it has bits and pieces of THE WICKER MAN, RITUALS, THE WITCH and KILL LIST added to the mix too. The derivative nature of the film is one of the things I liked least about it; it peaks early on with an excellent and shocking scene in a supermarket but goes slightly downhill shortly afterwards. I do love folklore and folklore horror films - there aren't enough of them - but while this film is mildly entertaining, it fails to impress in the same way a true classic of the genre like BLOOD ON SATAN'S CLAW impresses. It doesn't help that the script is sub-par, reducing all of the main characters to profanity-spewing idiots who are far from sympathetic. Rafe Spall is the best of the bunch, but only because he gets proper characterisation and has most screen time. The horror elements are fun and the climax certainly offbeat, but this isn't a classic for me.",The Ritual
1,claudio_carvalho,The Forest God,6,10 February 2018,"The best friend Luke (Rafe Spall), Phil (Luke Arsher Ali), Hutch (Robert James-Collier), Dom (Sam Troughton) and Robert (Paul Reid) are planning their next vacation in Europe. However, Robert is murdered in a convenience store robbery and his friend decide to hike in Sweden to honor him. But when Dom twists his knee, they decide to take a shortcut through the woods. Along their journey, they learn that they are hunted down by something. What would be the menace?""The Ritual"" is a horror film with an intriguing premise but also a poor conclusion. The screenplay keeps the tension while the viewer does not know what is happening. But the conclusion disappoints. My vote is six.Title (Brazil): Not Available",The Ritual
2,nogodnomasters,It's getting dark again.,6,15 February 2018,"A group of guys go on vacation together every year. One in the group was killed, and they decide to do a little memorial along the way as they hike a mountain trail in Sweden (filmed in Romania). Things go well until they feel they need to take a short cut through the dense forest where they discover the proverbial cabin in the woods. The cabin was clearly used for some pagan ritual. They get scared and want out. The film was slow in developing but wasn't boring. Rafe Spall is set up as the final guy from the beginning. There is a creature that we see at the end. Nice trees. Guide: f-word. No sex. Male side nudity.",The Ritual
3,kosmasp,Into the Forest,7,4 May 2018,"So going off wandering might not always be the best idea. Especially if you have some baggage to carry (pun intended). And while we do get some flashbacks and some backstory to the characters and their motivation to go on that trip, some may feel like the rest of the story is detached from that. Don't get me wrong, it has quite a few moments, it is shocking and it is tension filled, which might make you sit at the edge of your seat.There is also the moral question and the what would you have done (that's for the inciting incident, the one that is the reason for their predicament in the first place)? It is a tough question to answer for some, though even those who may say different might have acted exactly the same way. The ending is maybe a little bit of a let down, but technically this is sound to say the least ...",The Ritual
4,Sleepin_Dragon,"Terrifying, character driven scare fest.",9,2 December 2018,"The Ritual rates as one of the best horrors I will seen for ages, it's atmospheric, scary, boasts great characters and is superbly acted. I'm certain many will make comparisons to The Blair Witch, and I definitely see similarities, but this felt like it had much more depth.The beginning was very unusual, very unexpected, the middle was superb, the ending possibly the weakest element.I loved the sense of horror, the sense of claustrophobia, that feeling of impending doom, all incredibly well captured. The acting is superb, Spall, Troughton, Ali, it was nice to see so many actors from famous perform together.The beast itself was superb, absolutely terrifying, not as scary as that witch though.Powerful imagery, scared galore, feet performances combine to make a superb movie. 9/10",The Ritual
5,jboothmillard,The Ritual,5,13 July 2020,"I saw the trailer for this film in the cinema, it's not often I see a British scary movie advertised, and one that looks good, I hoped it would be worth it. Basically, university friends Phil (Arsher Ali), Dom (Sam Troughton, Patrick's grandson), Hutch (Downton Abbey and Coronation Street's Robert James-Collier), Luke (Rafe Spall, Timothy's son), and Robert (Paul Reid) meet in a pub and discuss plans for a group lad's trip. Rob's idea of hiking in Sweden is rejected. Afterward, Luke and Rob enter a shop to buy some alcohol but interrupt a robbery in progress. Luke hides while Rob freezes in fear as the thieves antagonise him for his valuables. Luke almost intervenes but continues to hide, and the thieves kill Rob for disobeying their demands and refusing to give them his wedding ring. Six months later, the remaining four friends embark on a hiking trip in northern Sweden in Rob's memory. Almost immediately, Dom injures his knee. Hutch suggests they cut through the forest to spare Dom from suffering, rather than sticking to the longer marked trail. Upon entering the forest, the group encounter strange things, including a gutted elk hanging from several branches and strange symbols carved in the trees. Night falls and it pours with rain, forcing them to find shelter. They eventually find an abandoned cabin, which they break into to stay the night. Inside, they find necklaces bearing similar symbols and a wooden effigy of a decapitated human torso with antlers for hands. The group all experience terrifying nightmares, and they wake the next morning to find chest bleeding from strange puncture wounds and Phil kneeling naked, praying to the effigy. Disturbed and puzzled by their own unconscious actions, the group tries to find a way out. An argument occurs between Luke and Dom about their location and seeing a large figure amongst the trees. It gets personal when Dom brings up the past, calling Luke a coward for letting Rob die to save himself, escaping without any injuries himself. Later that night, Luke is suddenly woken by Phil screaming. Then Hutch goes missing, but the three get lost going deeper into the woods to find him, unable to get back to their campsite. Continuing their search and running low on supplies, they find Hutch gutted and impaled on tree branches. After giving Hutch a burial, Phil is suddenly dragged away by an unseen creature. This creature has been stalking them the entire time. Luke and Dom make a run for it, with the creature chasing them. They find a path lined with torches leading to a small settlement and rush into a cottage to hide. While barricading themselves inside, they are knocked unconscious by someone. When they wake, they find themselves restrained in a cellar. Dom is taken away and returns later beaten, he tells Luke that he is to be sacrificed to the creature. He urges Luke to find a way out and destroy the village, burn it all to the ground, before he is also sacrificed. Amidst the ritual, Dom has a vision of his wife emerging from the forest, not realising it is the creature until it impales him on a nearby tree. Desperate to escape, Luke breaks his own thumb to partially free himself from his restraints. He is interrupted by the young woman, who explains that the creature is a Jötunn, an illegitimate son of Loki and an ancient god-like entity from Scandinavian mythology. The cult provides sacrifices to it in return for freedom from pain and immortality. Luke has been chosen and is to either submit and worship to it too or be sacrificed. After she leaves, Luke fully frees himself and heads upstairs. Armed with a torch, he finds a twisted congregation of mummified worshipers. He sets them alight, burning the cabin and attracting the creature. Finding a hunting rifle, Luke heads downstairs and runs into a worshipper, he kills him and takes his axe. The enraged creature kills the young woman while Luke shoots at it and escapes. It pursues him, crippling his mind with hallucinations of Rob's killing before catching him and forcing him to his knees, offering him a chance to submit. Luke refuses to kneel to it, and strikes it with the axe, briefly incapacitating it. Luke runs towards the sunlight and emerges in an open field. The creature is unable to leave the forest, it roars in anger while Luke roars back in triumph before heading towards a paved road. Also starring Maria Erwolter as The Host, Hilary Reeves as The Curate, Peter Liddell as The Logger, Francesca Mula as The Witch, and Kerri McLean as Gayle. It is one of those old-school scary movies with familiar ingredients, friends finding a cabin in the woods, terrorised by an unseen monster, and then Blair Witch and Wicker Man elements involving a nasty cult who worship this monster. The four main leads are all good, and it does have enough eerie, psychological, and tense moments to keep you watching, a reasonable supernatural horror. Worth watching!",The Ritual
6,BandSAboutMovies,Don't go into the woods,6,22 January 2019,"Five old college old friends meet to get drunk and discuss their annual vacation together. Rob wants to hike in Sweden, but the others all make fun of him. On their way home, Luke decides to get a bottle of vodka in a convenience store. Inside, Rob is killed by criminals when he won't give up his wedding ring. Luke is too slow to help and can only watch his friend be killed. From these very urban origins, the rural horror of The Ritual begins.To celebrate their friend, the survivors take the trip he wanted to Kungsleden, or King's Trail, in Sweden's Sarek National Park. One of them hurts his knee, so they decide to take a faster path home, but start to discover strange things like animals gutted and hung from trees and strange runes carved in the trees.Seeking shelter in an abandoned house, the men discover more runes and strange statues, yet they stay there for the night. When Luke wakes from an evening of nightmares, he has puncture wounds all over his chest. As they go deeper into the forest, their feelings toward one another - some blame Luke for Rob's death - come to light. And they start getting killed off by whatever is tracking them and left hung like the animals they say before.Soon, only Luke and Dom are left and the latter has been selected as a sacrifice to the Jötunn, who takes human lives and gives immortality in return. Luke must take part in the ritual and submit to the god or die. He refuses and the creature makes him relive his nightmares again and again until he's able to fight back and make his way to the edge of the woods, a place where it loses its power. Screaming in its face, Luke has survived.Directed by David Bruckner (V / H / S, Southbound), whose work I hadn't enjoyed much until this film, this is a great throwback to 1970's occult horror. It has a dark and sinister feel from the moment everyone journeys into the forest. It doesn't hold any surprises, but that doesn't mean it's not a great ride.",The Ritual
7,michaelRokeefe,"A ""shortcut"" not to be taken",6,20 September 2020,"Four British friends go hiking in the Swedish mountains to commiserate a recently passed buddy. A ""Shortcut"" through the forest turns into getting the group lost and after finding an abandon cabin to get out of the weather, a supernatural encounter causes paranoia and tense distrust among the hikers. Suspenseful and a bit spooky. More compelling than actually frightening.Rafe Spall leads a cast featuring Robert James-Collier, Sam Troughton, Arsher Ali and Paul Reid.",The Ritual
8,neil-476,"Goodish, but...",7,20 December 2019,"5 friends can't agree where to go on holiday. When Rob is murdered during a robbery (witnessed by one of the others who survives due to terrified inaction), the friends honour him by hiking in remote Sweden, Rob's preference, shared by no-one. It's only when they try to short cut through a forest that bad things start to happen.This film is nicely atmospheric, well cast and acted, and has a decent horror monster situation and payoff.And yet...There are few surprises but, despite that, there are unanswered questions which leave you unsatisfied. In particular, did it all happen, or was it the hallucinatory resullt of Luke's guilt? That incident was a very effective start, but never used to its full potential.",The Ritual
9,Wizard-8,"Okay, but it could have been better",5,18 February 2018,"Based on a novel, it's pretty clear that someone along the way of the making of ""The Ritual"" got their inspiration from the 1977 Canadian movie ""Rituals"". Not only are the titles of the two movies similar, but both share the theme of several middle aged men hiking in the wilderness and experiencing terror. But the movie also got some inspiration from the movie ""The Blair Witch Project"", with the supernatural touches to the narrative. Actually, the last twenty minutes or so of the movie do take a more original turn, but I'll leave you to find out what happens if you do decide to see this movie. Derivative as the movie is at times, I will admit that it is never boring, and does get you interested in watching enough to stick to the end in order to see what happens. However, there are a number of unanswered questions along the way, ranging from why the central character keeps having visions of his friend's murder to how the killings in the forest had somehow eluded the local authorities for years. Had questions like these been eventually answered, we would have possible had a compelling, if still somewhat derivative, horror movie. As it is, it's only okay, watchable, but will make you wonder several times why someone during the production did not spot the glaring unanswered questions and have them fixed before filming started.",The Ritual
